fluid,T,P,Tc,Pc,omega,rho_PR,rho_CP,rho_dev_pct,Cp_PR,Cp_CP,Cp_dev_pct,in_two_phase
甲烷,210,0.1,190.56,4.599,0.011,0.9246946894407053,0.9238431820909111,0.09217011786210594,1.9375943939579947,2.1096383837209127,-8.155141236076314,0
甲烷,210,0.6,190.56,4.599,0.011,5.733837607711786,5.702454430499164,0.5503450767580298,2.102980375865879,2.1901090435299,-3.9782798907396852,0
甲烷,210,1.1,190.56,4.599,0.011,10.885078305149795,10.775338189083108,1.0184377895245003,2.309792041150961,2.2844019909899647,1.1114528117703792,0
甲烷,210,1.6,190.56,4.599,0.011,16.431297683142223,16.189259142097892,1.4950563143123887,2.5705321830007386,2.3960047518586673,7.284102045569152,0
甲烷,210,2.1,190.56,4.599,0.011,22.438746930399905,22.003481158690786,1.9781677661364085,2.9027806364617548,2.5297506486060435,14.745721601504885,0
甲烷,210,2.6,190.56,4.599,0.011,28.991824712316298,28.294449589421173,2.4647064460156924,3.3318629483998885,2.692501478112406,23.746002573625713,0
甲烷,210,3.1,190.56,4.599,0.011,36.20003872356583,35.1627903459276,2.9498466061251163,3.8952511306152915,2.8942659965645867,34.58511191572738,0
甲烷,210,3.6,190.56,4.599,0.011,44.20828419668585,42.744052969046486,3.4255788254326367,4.649996543956143,3.150087698477997,47.61482819042928,0
甲烷,210,4.1,190.56,4.599,0.011,53.21202819415054,51.225619428882844,3.8777642660338207,5.685433874923145,3.483312857050108,63.219156826984936,0
甲烷,210,4.6,190.56,4.599,0.011,63.478973415092334,60.87376616826204,4.279687968753579,7.14444711699056,3.931297929973883,81.73252814339672,0
甲烷,210,5.1,190.56,4.599,0.011,75.37558772612829,72.07644934740678,4.577276500982644,9.25453258525138,4.554924716904516,103.17641147625099,0
甲烷,210,5.6,190.56,4.599,0.011,89.37904866245087,85.40352212853097,4.654991310471714,12.345970439986946,5.450588192477402,126.50712187404227,0
甲烷,210,6.1,190.56,4.599,0.011,105.98377372451398,101.64513730901399,4.268415125762476,16.71144751128347,6.7407878493867965,147.91534587168022,0
甲烷,210,6.6,190.56,4.599,0.011,125.2426099771032,121.58048240186938,3.0121015338046706,21.875190904861803,8.418150363586856,159.85745039057596,0
甲烷,210,7.1,190.56,4.599,0.011,145.8687093009331,144.7414868690303,0.7787832336714657,25.654748843782766,9.834269591308335,160.87091273618117,0
甲烷,210,7.6,190.56,4.599,0.011,165.43225029694923,167.72202581731034,-1.3652205243783668,26.283561159768777,9.8975021558489,165.55751891639227,0
甲烷,210,8.1,190.56,4.599,0.011,182.3719908409123,186.90913403031243,-2.42745931756567,24.804477109229076,8.996684294728476,175.7068748512497,0
甲烷,210,8.6,190.56,4.599,0.011,196.59946702744273,201.85959407014028,-2.605834548973584,22.76145872220153,8.024413655805661,183.65260938079408,0
甲烷,210,9.1,190.56,4.599,0.011,208.60812255639675,213.6034499856797,-2.338598664777112,20.82968509999081,7.245251792219615,187.49428863685557,0
甲烷,210,9.6,190.56,4.599,0.011,218.9082167034394,223.1021271807777,-1.8798164456495827,19.170225536204562,6.651562724824351,188.206340814606,0
甲烷,210,10.1,190.56,4.599,0.011,227.89522311761723,231.01153623545196,-1.348985928849245,17.777221248380858,6.19628900138452,186.90109909993956,0
甲烷,220,0.1,190.56,4.599,0.011,0.8819745630035747,0.8812115728287867,0.08658422089699729,1.9699333094455551,2.11541808935224,-6.877353495224837,0
甲烷,220,0.6,190.56,4.599,0.011,5.445856794175403,5.417979583443405,0.5145314836029858,2.119055187285225,2.1850391689183257,-3.0198077257244407,0
甲烷,220,1.1,190.56,4.599,0.011,10.28823939789329,10.191607779832298,0.9481489098531912,2.2998321087561497,2.2645025373724974,1.5601471316806403,0
甲烷,220,1.6,190.56,4.599,0.011,15.443037092922532,15.232011152467539,1.3854108846342834,2.5198276048072583,2.355789684012837,6.963181896399171,0
甲烷,220,2.1,190.56,4.599,0.011,20.950333523745364,20.57512657337768,1.8235948587221176,2.7888609354166127,2.4614375740373804,13.302119250669243,0
甲烷,220,2.6,190.56,4.599,0.011,26.857752697146804,26.264443841256618,2.258981227533958,3.119788824554031,2.5847262179095494,20.70093934657515,0
甲烷,220,3.1,190.56,4.599,0.011,33.222096619260284,32.352971305741804,2.6863848309482288,3.5295609507966277,2.7299342422687145,29.291061159897485,0
甲烷,220,3.6,190.56,4.599,0.011,40.11119321535067,38.90573451267949,3.098408802122262,4.0405956906686855,2.902681609057097,39.202166646903684,0
甲烷,220,4.1,190.56,4.599,0.011,47.60572029677076,46.0028690565304,3.484241902979369,4.682432989788628,3.1103703029994736,50.54262141305625,0
甲烷,220,4.6,190.56,4.599,0.011,55.80035127601535,53.74321252604953,3.827718242501252,5.493317894444655,3.362693828735339,63.36063210698586,0
甲烷,220,5.1,190.56,4.599,0.011,64.802645494033,62.247831513745915,4.104261816289806,6.520540799690117,3.6720565415271262,77.57190625878462,0
甲烷,220,5.6,190.56,4.599,0.011,74.72624718266158,71.66167965346764,4.27643831963356,7.816377687530616,4.053381237388326,92.83598629787075,0
甲烷,220,6.1,190.56,4.599,0.011,85.67180827926688,82.14859551529237,4.288828971298297,9.422686718110524,4.521892919998617,108.37925366249952,0
甲烷,220,6.6,190.56,4.599,0.011,97.6858471364917,93.86856872843177,4.066620445767724,11.333338769786538,5.085710495265205,122.84671493467579,0
甲烷,220,7.1,190.56,4.599,0.011,110.6917538486955,106.9166298874946,3.5309043739719095,13.43162132080634,5.728360303563513,134.4758466476133,0
甲烷,220,7.6,190.56,4.599,0.011,124.41468563814735,121.20179828255763,2.650857826465176,15.444481141606923,6.381311820612864,142.0267427101475,0
甲烷,220,8.1,190.56,4.599,0.011,138.37241358583083,136.29481085648075,1.524344702703175,17.01361395812739,6.912442834735111,146.13026631676098,0
甲烷,220,8.6,190.56,4.599,0.011,151.9990107712055,151.40368766894412,0.3932025113966148,17.898962939979807,7.184868855123006,149.12024562866392,0
甲烷,220,9.1,190.56,4.599,0.011,164.83710933873053,165.65220178407324,-0.4920504747683236,18.112175064998972,7.1676908044441925,152.69191374394745,0
甲烷,220,9.6,190.56,4.599,0.011,176.64479231953285,178.47320096945498,-1.024472380161462,17.839338631826354,6.951419596568185,156.62871279750365,0
甲烷,220,10.1,190.56,4.599,0.011,187.37193217406568,189.72057495190876,-1.2379483766789274,17.29016312077197,6.650165719503939,159.99597378547296,0
甲烷,230,0.1,190.56,4.599,0.011,0.8430658584417663,0.8423831931969171,0.08103975131061127,2.0026279039712263,2.123232530996159,-5.680236397298811,0
甲烷,230,0.6,190.56,4.599,0.011,5.18708242906405,5.162345239904009,0.47918509922248814,2.138027690233999,2.184120579702743,-2.110363772819605,0
甲烷,230,1.1,190.56,4.599,0.011,9.760219432860936,9.675142240087185,0.8793379018372359,2.2979983698678494,2.2521638362090086,2.0351331871127347,0
甲烷,230,1.6,190.56,4.599,0.011,14.584445880676112,14.400232513622981,1.2792388378372381,2.4872143216317975,2.32852077768696,6.815208413234607,0
甲烷,230,2.1,190.56,4.599,0.011,19.684484093772074,19.36000436505629,1.6760312786987304,2.711360006009802,2.414584974027799,12.290933438840588,0
